typeid,idesessionuuid,kaveversion,triggeredat,triggeredby,duration,activewindow,activedocument
"KaVE.Commons.Model.Events.ActivityEvent, KaVE.Commons",a97436aa-944d-40e3-ba65-faa736afd0d2,0.1004-Default,00:22:51.6219722,1,00:00:00.5558692,0Win:vsWindowTypeDocument UsersController.cs,0Doc:CSharp \Assemble\WebClient\Areas\Administration\Controllers\UsersController.cs
"KaVE.Commons.Model.Events.ActivityEvent, KaVE.Commons",a97436aa-944d-40e3-ba65-faa736afd0d2,0.1004-Default,00:22:56.881099,1,00:00:00.0100075,0Win:vsWindowTypeDocument UsersController.cs,0Doc:CSharp \Assemble\WebClient\Areas\Administration\Controllers\UsersController.cs
"KaVE.Commons.Model.Events.ActivityEvent, KaVE.Commons",a97436aa-944d-40e3-ba65-faa736afd0d2,0.1004-Default,00:26:21.2515777,1,00:00:01.0877098,0Win:vsWindowTypeDocument UsersController.cs,0Doc:CSharp \Assemble\WebClient\Areas\Administration\Controllers\UsersController.cs
"KaVE.Commons.Model.Events.ActivityEvent, KaVE.Commons",a97436aa-944d-40e3-ba65-faa736afd0d2,0.1004-Default,00:26:27.4141055,1,00:00:03.5288397,0Win:vsWindowTypeDocument UsersController.cs,0Doc:CSharp \Assemble\WebClient\Areas\Administration\Controllers\UsersController.cs
"KaVE.Commons.Model.Events.ActivityEvent, KaVE.Commons",a97436aa-944d-40e3-ba65-faa736afd0d2,0.1004-Default,00:26:42.3079194,1,00:00:00.0810536,0Win:vsWindowTypeDocument UsersController.cs,0Doc:CSharp \Assemble\WebClient\Areas\Administration\Controllers\UsersController.cs
"KaVE.Commons.Model.Events.ActivityEvent, KaVE.Commons",a97436aa-944d-40e3-ba65-faa736afd0d2,0.1004-Default,00:26:59.3657555,1,00:00:01.6415881,0Win:vsWindowTypeDocument UsersController.cs,0Doc:CSharp \Assemble\WebClient\Areas\Administration\Controllers\UsersController.cs
"KaVE.Commons.Model.Events.ActivityEvent, KaVE.Commons",a97436aa-944d-40e3-ba65-faa736afd0d2,0.1004-Default,00:27:05.8026951,1,00:00:13.0527660,0Win:vsWindowTypeDocument UsersController.cs,0Doc:CSharp \Assemble\WebClient\Areas\Administration\Controllers\UsersController.cs
"KaVE.Commons.Model.Events.ActivityEvent, KaVE.Commons",a97436aa-944d-40e3-ba65-faa736afd0d2,0.1004-Default,00:27:22.8451889,1,00:00:06.3318150,0Win:vsWindowTypeDocument UsersController.cs,0Doc:CSharp \Assemble\WebClient\Areas\Administration\Controllers\UsersController.cs
"KaVE.Commons.Model.Events.ActivityEvent, KaVE.Commons",a97436aa-944d-40e3-ba65-faa736afd0d2,0.1004-Default,00:27:38.565348,1,00:00:02.0267159,0Win:vsWindowTypeDocument UsersController.cs,0Doc:CSharp \Assemble\WebClient\Areas\Administration\Controllers\UsersController.cs
"KaVE.Commons.Model.Events.ActivityEvent, KaVE.Commons",a97436aa-944d-40e3-ba65-faa736afd0d2,0.1004-Default,00:27:47.5397511,1,00:00:17.0571776,0Win:vsWindowTypeDocument UsersController.cs,0Doc:CSharp \Assemble\WebClient\Areas\Administration\Controllers\UsersController.cs
"KaVE.Commons.Model.Events.ActivityEvent, KaVE.Commons",a97436aa-944d-40e3-ba65-faa736afd0d2,0.1004-Default,00:28:17.7750882,1,00:00:00.0450293,0Win:vsWindowTypeDocument UsersController.cs,0Doc:CSharp \Assemble\WebClient\Areas\Administration\Controllers\UsersController.cs
"KaVE.Commons.Model.Events.ActivityEvent, KaVE.Commons",a97436aa-944d-40e3-ba65-faa736afd0d2,0.1004-Default,00:28:29.9758113,1,00:00:11.8406213,0Win:vsWindowTypeDocument UsersController.cs,0Doc:CSharp \Assemble\WebClient\Areas\Administration\Controllers\UsersController.cs
"KaVE.Commons.Model.Events.ActivityEvent, KaVE.Commons",a97436aa-944d-40e3-ba65-faa736afd0d2,0.1004-Default,00:28:53.0565906,1,00:00:07.3167573,0Win:vsWindowTypeDocument UsersController.cs,0Doc:CSharp \Assemble\WebClient\Areas\Administration\Controllers\UsersController.cs
"KaVE.Commons.Model.Events.ActivityEvent, KaVE.Commons",a97436aa-944d-40e3-ba65-faa736afd0d2,0.1004-Default,00:29:05.0182989,1,00:00:03.0393648,0Win:vsWindowTypeDocument UsersController.cs,0Doc:CSharp \Assemble\WebClient\Areas\Administration\Controllers\UsersController.cs
"KaVE.Commons.Model.Events.ActivityEvent, KaVE.Commons",a97436aa-944d-40e3-ba65-faa736afd0d2,0.1004-Default,00:29:12.8646561,1,00:00:02.7563439,0Win:vsWindowTypeDocument UsersController.cs,0Doc:CSharp \Assemble\WebClient\Areas\Administration\Controllers\UsersController.cs
"KaVE.Commons.Model.Events.ActivityEvent, KaVE.Commons",a97436aa-944d-40e3-ba65-faa736afd0d2,0.1004-Default,00:29:40.7222746,1,00:00:03.4070029,0Win:vsWindowTypeDocument UsersController.cs,0Doc:CSharp \Assemble\WebClient\Areas\Administration\Controllers\UsersController.cs
"KaVE.Commons.Model.Events.ActivityEvent, KaVE.Commons",a97436aa-944d-40e3-ba65-faa736afd0d2,0.1004-Default,00:30:00.8274976,1,00:00:16.0591986,0Win:vsWindowTypeDocument UsersController.cs,0Doc:CSharp \Assemble\WebClient\Areas\Administration\Controllers\UsersController.cs
"KaVE.Commons.Model.Events.ActivityEvent, KaVE.Commons",a97436aa-944d-40e3-ba65-faa736afd0d2,0.1004-Default,00:30:23.5135996,1,00:00:10.8797455,0Win:vsWindowTypeDocument UsersController.cs,0Doc:CSharp \Assemble\WebClient\Areas\Administration\Controllers\UsersController.cs
"KaVE.Commons.Model.Events.ActivityEvent, KaVE.Commons",a97436aa-944d-40e3-ba65-faa736afd0d2,0.1004-Default,00:30:40.9565595,1,00:00:03.5299965,0Win:vsWindowTypeDocument UsersController.cs,0Doc:CSharp \Assemble\WebClient\Areas\Administration\Controllers\UsersController.cs
