typeid,scope,action,idesessionuuid,kaveversion,triggeredat,triggeredby,duration,activewindow,activedocument
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",vsBuildScopeProject,vsBuildActionBuild,0fc7ca9e-3526-4bc4-8489-2a405f383f35,0.1004-Default,01:23:05.5391317,0,00:00:06.4241230,0Win:vsWindowTypeSolutionExplorer Solution Explorer,
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",vsBuildScopeSolution,vsBuildActionBuild,0fc7ca9e-3526-4bc4-8489-2a405f383f35,0.1004-Default,01:28:02.8130763,0,00:00:00.7999980,0Win:vsWindowTypeSolutionExplorer Solution Explorer,0Doc:XML \packages.config
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",vsBuildScopeProject,vsBuildActionBuild,0fc7ca9e-3526-4bc4-8489-2a405f383f35,0.1004-Default,01:28:31.29028,0,00:00:00.4174966,0Win:vsWindowTypeSolutionExplorer Solution Explorer,0Doc:XML \packages.config
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",vsBuildScopeProject,vsBuildActionBuild,7639de18-b8d5-4593-88f5-8d8f4f700719,0.1004-Default,01:29:19.6741829,0,00:00:01.1940226,0Win:vsWindowTypeSolutionExplorer Solution Explorer,
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",vsBuildScopeProject,vsBuildActionBuild,7639de18-b8d5-4593-88f5-8d8f4f700719,0.1004-Default,01:30:03.0999123,0,00:00:00.4079970,0Win:vsWindowTypeSolutionExplorer Solution Explorer,
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",vsBuildScopeProject,vsBuildActionBuild,7639de18-b8d5-4593-88f5-8d8f4f700719,0.1004-Default,01:34:20.5222626,0,00:00:00.4755296,0Win:vsWindowTypeDocument Web.config,0Doc:XML \Web.config
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",vsBuildScopeProject,vsBuildActionBuild,7639de18-b8d5-4593-88f5-8d8f4f700719,0.1004-Default,01:41:29.5587395,0,00:00:00.5149983,0Win:vsWindowTypeDocument Web.config,0Doc:XML \Web.config
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",vsBuildScopeSolution,vsBuildActionBuild,7639de18-b8d5-4593-88f5-8d8f4f700719,0.1004-Default,01:54:50.2994992,0,00:00:04.5254972,0Win:vsWindowTypeDocument HomeController.cs,0Doc:CSharp \Controllers\HomeController.cs
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",vsBuildScopeProject,vsBuildActionBuild,7639de18-b8d5-4593-88f5-8d8f4f700719,0.1004-Default,01:56:28.2650927,0,00:00:00.4454968,0Win:vsWindowTypeDocument Web.config,0Doc:XML \Web.config
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",vsBuildScopeProject,vsBuildActionBuild,7639de18-b8d5-4593-88f5-8d8f4f700719,0.1004-Default,01:58:24.2692243,0,00:00:00.5109985,0Win:vsWindowTypeDocument Web.config,0Doc:XML \Web.config
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",vsBuildScopeSolution,vsBuildActionBuild,6d171b9f-9fa8-4cf3-a94b-def213d64af9,0.1004-Default,23:28:50.9494132,0,00:00:07.2445613,0Win:vsWindowTypeSolutionExplorer Solution Explorer,
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",vsBuildScopeSolution,vsBuildActionBuild,6d171b9f-9fa8-4cf3-a94b-def213d64af9,0.1004-Default,23:29:58.090344,0,00:00:13.2675354,0Win:vsWindowTypeSolutionExplorer Solution Explorer,
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",vsBuildScopeProject,vsBuildActionBuild,6d171b9f-9fa8-4cf3-a94b-def213d64af9,0.1004-Default,23:33:47.4273681,0,00:00:06.6210399,0Win:vsWindowTypeSolutionExplorer Solution Explorer,
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",vsBuildScopeSolution,vsBuildActionRebuildAll,45d06f62-c6aa-45fa-af11-505cfe0e1930,0.1004-Default,22:49:19.0146949,0,00:00:34.6689040,0Win:vsWindowTypeSolutionExplorer Solution Explorer,
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",vsBuildScopeProject,vsBuildActionBuild,a12b7757-6cfd-45dd-9a15-b579faed49d3,0.1004-Default,18:10:34.3460625,0,00:00:05.4805003,0Win:vsWindowTypeSolutionExplorer Solution Explorer,0Doc:CSharp \Controllers\HomeController.cs
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",vsBuildScopeSolution,vsBuildActionBuild,e3b8ed0b-8e7d-4e40-96bf-983b15358831,0.1004-Default,17:51:44.8025532,0,00:00:12.9900767,0Win:vsWindowTypeDocument StandardIntegrationTest.cs,0Doc:CSharp \Integration.Tests\Core\StandardIntegrationTest.cs
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",vsBuildScopeSolution,vsBuildActionRebuildAll,d3b76aa2-57ba-48b6-ae9a-2bdb8385ee1d,0.1004-Default,19:32:56.1318906,0,00:00:36.5758869,0Win:vsWindowTypeSolutionExplorer Solution Explorer,0Doc:CSharp \Assemble.Client\Assemble.Client\AssembleClient.cs
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",vsBuildScopeProject,vsBuildActionBuild,77fa3202-a57a-45a1-9e8a-39d99e25592e,0.1004-Default,14:20:39.5303146,0,00:00:00.4955878,0Win:vsWindowTypeDocument Package.dtsx [Design],0Doc:XMLA \PullInAuditData\Package.dtsx
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",vsBuildScopeSolution,vsBuildActionBuild,6127f015-2e67-4db7-aadf-679b0de1ebd6,0.1010-Default,21:46:59.0255891,0,00:00:32.4013576,0Win:vsWindowTypeDocument ProjectManagementUtilities.cs,0Doc:CSharp ProjectManagementUtilities.cs
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",vsBuildScopeProject,vsBuildActionBuild,6127f015-2e67-4db7-aadf-679b0de1ebd6,0.1010-Default,00:15:26.4140756,0,00:00:13.6769578,0Win:vsWindowTypeDocument SortingArchivedProjectIntegrationTests.cs,0Doc:CSharp SortingArchivedProjectIntegrationTests.cs
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",vsBuildScopeProject,vsBuildActionBuild,6127f015-2e67-4db7-aadf-679b0de1ebd6,0.1010-Default,00:20:59.5762351,0,00:00:06.4201695,0Win:vsWindowTypeToolWindow Unit Test Explorer,0Doc:XML app.config
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",vsBuildScopeProject,vsBuildActionBuild,6127f015-2e67-4db7-aadf-679b0de1ebd6,0.1010-Default,00:23:23.170907,0,00:00:06.2348819,0Win:vsWindowTypeToolWindow Unit Test Sessions - SortingArchivedProjectsByName,0Doc:XML app.config
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",vsBuildScopeProject,vsBuildActionBuild,6127f015-2e67-4db7-aadf-679b0de1ebd6,0.1010-Default,00:30:59.4933219,0,00:00:11.5077542,0Win:vsWindowTypeToolWindow Unit Test Sessions - SortingArchivedProjectsByName,0Doc:CSharp SortingArchivedProjectIntegrationTests.cs
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",vsBuildScopeSolution,vsBuildActionBuild,70b3858d-9902-429f-bf9a-be9c1c807b96,0.1010-Default,14:19:52.9842774,0,00:00:05.8866381,0Win:vsWindowTypeSolutionExplorer Solution Explorer,
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",vsBuildScopeSolution,vsBuildActionBuild,70b3858d-9902-429f-bf9a-be9c1c807b96,0.1010-Default,14:20:14.5827974,0,00:00:00.2220042,0Win:vsWindowTypeSolutionExplorer Solution Explorer,
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",vsBuildScopeProject,vsBuildActionBuild,55b2caec-d1a3-47c9-9e86-e95dcf52ae6b,0.1010-Default,15:12:00.381415,0,00:00:04.3992280,0Win:vsWindowTypeSolutionExplorer Solution Explorer,
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",vsBuildScopeProject,vsBuildActionRebuildAll,e39e741e-3ada-4561-a504-c6a4ab3e35ba,0.1010-Default,15:19:57.7437607,0,00:00:00.7995029,0Win:vsWindowTypeSolutionExplorer Solution Explorer,
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",vsBuildScopeProject,vsBuildActionBuild,56fde61a-dc60-4ca6-9c9c-3fc1c22fad35,0.1010-Default,22:48:14.2277842,0,00:01:07.4646473,0Win:vsWindowTypeSolutionExplorer Solution Explorer,0Doc:CSharp \GCalReader\Program.cs
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",vsBuildScopeProject,vsBuildActionBuild,56fde61a-dc60-4ca6-9c9c-3fc1c22fad35,0.1010-Default,22:51:16.1074954,0,00:00:00.3840122,0Win:vsWindowTypeSolutionExplorer Solution Explorer,0Doc:CSharp \GCalReader\Program.cs
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",vsBuildScopeSolution,vsBuildActionBuild,56fde61a-dc60-4ca6-9c9c-3fc1c22fad35,0.1010-Default,04:34:46.5001158,0,00:00:09.4004034,0Win:vsWindowTypeDocument Program.cs,0Doc:CSharp \FireHoseLoader\Program.cs
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",vsBuildScopeProject,vsBuildActionBuild,56fde61a-dc60-4ca6-9c9c-3fc1c22fad35,0.1010-Default,04:40:29.2798972,0,00:00:00.3255126,0Win:vsWindowTypeSolutionExplorer Solution Explorer,0Doc:CSharp \FireHoseLoader\Program.cs
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",vsBuildScopeProject,vsBuildActionBuild,56fde61a-dc60-4ca6-9c9c-3fc1c22fad35,0.1010-Default,04:41:22.6741749,0,00:00:00.3405135,0Win:vsWindowTypeSolutionExplorer Solution Explorer,0Doc:CSharp \FireHoseLoader\Program.cs
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",vsBuildScopeProject,vsBuildActionBuild,56fde61a-dc60-4ca6-9c9c-3fc1c22fad35,0.1010-Default,04:42:32.4669053,0,00:00:00.5250185,0Win:vsWindowTypeDocument Program.cs,0Doc:CSharp \FireHoseLoader\Program.cs
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",vsBuildScopeProject,vsBuildActionBuild,56fde61a-dc60-4ca6-9c9c-3fc1c22fad35,0.1010-Default,04:46:51.2642957,0,00:00:00.3415099,0Win:vsWindowTypeSolutionExplorer Solution Explorer,0Doc:CSharp \FireHoseLoader\Program.cs
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",vsBuildScopeProject,vsBuildActionBuild,56fde61a-dc60-4ca6-9c9c-3fc1c22fad35,0.1010-Default,04:49:10.4383516,0,00:00:00.3160094,0Win:vsWindowTypeDocument Program.cs,0Doc:CSharp \FireHoseLoader\Program.cs
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",vsBuildScopeProject,vsBuildActionBuild,56fde61a-dc60-4ca6-9c9c-3fc1c22fad35,0.1010-Default,04:56:16.8692662,0,00:00:00.3155094,0Win:vsWindowTypeDocument Program.cs,0Doc:CSharp \FireHoseLoader\Program.cs
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",vsBuildScopeProject,vsBuildActionBuild,56fde61a-dc60-4ca6-9c9c-3fc1c22fad35,0.1010-Default,04:57:27.6303183,0,00:00:00.3100101,0Win:vsWindowTypeDocument Program.cs,0Doc:CSharp \FireHoseLoader\Program.cs
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",vsBuildScopeProject,vsBuildActionBuild,56fde61a-dc60-4ca6-9c9c-3fc1c22fad35,0.1010-Default,05:21:54.7560162,0,00:00:05.3794712,0Win:vsWindowTypeDocument Program.cs,0Doc:CSharp \FireHoseLoader\Program.cs
