typeid,mode,reason,idesessionuuid,kaveversion,triggeredat,triggeredby,duration,activewindow,activedocument
"KaVE.Commons.Model.Events.VisualStudio.DebuggerEvent, KaVE.Commons",1,dbgEventReasonAttachProgram,0fc7ca9e-3526-4bc4-8489-2a405f383f35,0.1004-Default,2016-05-17T01:23:14.6351194+02:00,0,00:01:32.9851306,0Win:vsWindowTypeOutput Output,
"KaVE.Commons.Model.Events.VisualStudio.DebuggerEvent, KaVE.Commons",0,dbgEventReasonStopDebugging,0fc7ca9e-3526-4bc4-8489-2a405f383f35,0.1004-Default,2016-05-17T01:24:47.6277483+02:00,0,00:00:00,0Win:vsWindowTypeOutput Output,
"KaVE.Commons.Model.Events.VisualStudio.DebuggerEvent, KaVE.Commons",1,dbgEventReasonAttachProgram,0fc7ca9e-3526-4bc4-8489-2a405f383f35,0.1004-Default,2016-05-17T01:28:32.6358411+02:00,0,00:01:24.4938244,0Win:vsWindowTypeDocument packages.config,0Doc:XML \packages.config
"KaVE.Commons.Model.Events.VisualStudio.DebuggerEvent, KaVE.Commons",0,dbgEventReasonStopDebugging,0fc7ca9e-3526-4bc4-8489-2a405f383f35,0.1004-Default,2016-05-17T01:29:57.1431662+02:00,0,00:00:00,0Win:vsWindowTypeDocument packages.config,0Doc:XML \packages.config
"KaVE.Commons.Model.Events.VisualStudio.DebuggerEvent, KaVE.Commons",1,dbgEventReasonAttachProgram,7639de18-b8d5-4593-88f5-8d8f4f700719,0.1004-Default,2016-05-17T01:30:04.6963265+02:00,0,00:04:02.5715857,0Win:vsWindowTypeOutput Output,
"KaVE.Commons.Model.Events.VisualStudio.DebuggerEvent, KaVE.Commons",0,dbgEventReasonStopDebugging,7639de18-b8d5-4593-88f5-8d8f4f700719,0.1004-Default,2016-05-17T01:34:07.2734146+02:00,0,00:00:00,0Win:vsWindowTypeDocument Web.config,0Doc:XML \Web.config
"KaVE.Commons.Model.Events.VisualStudio.DebuggerEvent, KaVE.Commons",1,dbgEventReasonAttachProgram,7639de18-b8d5-4593-88f5-8d8f4f700719,0.1004-Default,2016-05-17T01:34:21.8718276+02:00,0,00:06:49.2840067,0Win:vsWindowTypeDocument Web.config,0Doc:XML \Web.config
"KaVE.Commons.Model.Events.VisualStudio.DebuggerEvent, KaVE.Commons",0,dbgEventReasonStopDebugging,7639de18-b8d5-4593-88f5-8d8f4f700719,0.1004-Default,2016-05-17T01:41:11.1568356+02:00,0,00:00:00,0Win:vsWindowTypeDocument Web.config,0Doc:XML \Web.config
"KaVE.Commons.Model.Events.VisualStudio.DebuggerEvent, KaVE.Commons",1,dbgEventReasonAttachProgram,7639de18-b8d5-4593-88f5-8d8f4f700719,0.1004-Default,2016-05-17T01:41:30.9358399+02:00,0,00:05:42.4982323,0Win:vsWindowTypeDocument Web.config,0Doc:XML \Web.config
"KaVE.Commons.Model.Events.VisualStudio.DebuggerEvent, KaVE.Commons",2,dbgEventReasonBreakpoint,7639de18-b8d5-4593-88f5-8d8f4f700719,0.1004-Default,2016-05-17T01:47:13.4350726+02:00,0,00:00:59.3270315,0Win:vsWindowTypeDocument HomeController.cs,0Doc:CSharp \Controllers\HomeController.cs
"KaVE.Commons.Model.Events.VisualStudio.DebuggerEvent, KaVE.Commons",1,dbgEventReasonStep,7639de18-b8d5-4593-88f5-8d8f4f700719,0.1004-Default,2016-05-17T01:48:12.7646058+02:00,0,00:00:00.8336591,0Win:vsWindowTypeDocument HomeController.cs,0Doc:CSharp \Controllers\HomeController.cs
"KaVE.Commons.Model.Events.VisualStudio.DebuggerEvent, KaVE.Commons",2,dbgEventReasonStep,7639de18-b8d5-4593-88f5-8d8f4f700719,0.1004-Default,2016-05-17T01:48:13.5987645+02:00,0,00:01:45.1109469,0Win:vsWindowTypeDocument HomeController.cs,0Doc:CSharp \Controllers\HomeController.cs
"KaVE.Commons.Model.Events.VisualStudio.DebuggerEvent, KaVE.Commons",1,dbgEventReasonGo,7639de18-b8d5-4593-88f5-8d8f4f700719,0.1004-Default,2016-05-17T01:49:58.7107119+02:00,0,00:00:29.4905299,0Win:vsWindowTypeDocument HomeController.cs,0Doc:CSharp \Controllers\HomeController.cs
"KaVE.Commons.Model.Events.VisualStudio.DebuggerEvent, KaVE.Commons",0,dbgEventReasonStopDebugging,7639de18-b8d5-4593-88f5-8d8f4f700719,0.1004-Default,2016-05-17T01:50:28.2022418+02:00,0,00:00:00,0Win:vsWindowTypeDocument HomeController.cs,0Doc:CSharp \Controllers\HomeController.cs
"KaVE.Commons.Model.Events.VisualStudio.DebuggerEvent, KaVE.Commons",1,dbgEventReasonAttachProgram,7639de18-b8d5-4593-88f5-8d8f4f700719,0.1004-Default,2016-05-17T01:54:59.220721+02:00,0,00:00:15.6785194,0Win:vsWindowTypeDocument HomeController.cs,0Doc:CSharp \Controllers\HomeController.cs
"KaVE.Commons.Model.Events.VisualStudio.DebuggerEvent, KaVE.Commons",2,dbgEventReasonBreakpoint,7639de18-b8d5-4593-88f5-8d8f4f700719,0.1004-Default,2016-05-17T01:55:14.9002371+02:00,0,00:00:03.4018739,0Win:vsWindowTypeDocument HomeController.cs,0Doc:CSharp \Controllers\HomeController.cs
"KaVE.Commons.Model.Events.VisualStudio.DebuggerEvent, KaVE.Commons",1,dbgEventReasonStep,7639de18-b8d5-4593-88f5-8d8f4f700719,0.1004-Default,2016-05-17T01:55:18.3026148+02:00,0,00:00:00.8238362,0Win:vsWindowTypeDocument HomeController.cs,0Doc:CSharp \Controllers\HomeController.cs
"KaVE.Commons.Model.Events.VisualStudio.DebuggerEvent, KaVE.Commons",2,dbgEventReasonStep,7639de18-b8d5-4593-88f5-8d8f4f700719,0.1004-Default,2016-05-17T01:55:19.1269511+02:00,0,00:00:08.8668175,0Win:vsWindowTypeDocument HomeController.cs,0Doc:CSharp \Controllers\HomeController.cs
"KaVE.Commons.Model.Events.VisualStudio.DebuggerEvent, KaVE.Commons",1,dbgEventReasonGo,7639de18-b8d5-4593-88f5-8d8f4f700719,0.1004-Default,2016-05-17T01:55:27.994769+02:00,0,00:00:34.7784411,0Win:vsWindowTypeDocument HomeController.cs,0Doc:CSharp \Controllers\HomeController.cs
"KaVE.Commons.Model.Events.VisualStudio.DebuggerEvent, KaVE.Commons",0,dbgEventReasonStopDebugging,7639de18-b8d5-4593-88f5-8d8f4f700719,0.1004-Default,2016-05-17T01:56:02.7737114+02:00,0,00:00:00,0Win:vsWindowTypeDocument HomeController.cs,0Doc:CSharp \Controllers\HomeController.cs
"KaVE.Commons.Model.Events.VisualStudio.DebuggerEvent, KaVE.Commons",1,dbgEventReasonAttachProgram,7639de18-b8d5-4593-88f5-8d8f4f700719,0.1004-Default,2016-05-17T01:56:29.598675+02:00,0,00:00:33.0530700,0Win:vsWindowTypeDocument Web.config,0Doc:XML \Web.config
"KaVE.Commons.Model.Events.VisualStudio.DebuggerEvent, KaVE.Commons",2,dbgEventReasonBreakpoint,7639de18-b8d5-4593-88f5-8d8f4f700719,0.1004-Default,2016-05-17T01:57:02.6527459+02:00,0,00:00:01.8873994,0Win:vsWindowTypeDocument HomeController.cs,0Doc:CSharp \Controllers\HomeController.cs
"KaVE.Commons.Model.Events.VisualStudio.DebuggerEvent, KaVE.Commons",1,dbgEventReasonGo,7639de18-b8d5-4593-88f5-8d8f4f700719,0.1004-Default,2016-05-17T01:57:04.5406486+02:00,0,00:00:55.2416129,0Win:vsWindowTypeDocument HomeController.cs,0Doc:CSharp \Controllers\HomeController.cs
"KaVE.Commons.Model.Events.VisualStudio.DebuggerEvent, KaVE.Commons",0,dbgEventReasonStopDebugging,7639de18-b8d5-4593-88f5-8d8f4f700719,0.1004-Default,2016-05-17T01:57:59.7827619+02:00,0,00:00:00,0Win:vsWindowTypeDocument HomeController.cs,0Doc:CSharp \Controllers\HomeController.cs
