profileid,education,position,projectsCourses,projectsPersonal,projectsSharedSmall,projectsSharedMedium,projectsSharedLarge,teamsSolo,teamsSmall,teamsMedium,teamsLarge,codeReviews,programmingGeneral,programmingCSharp,comment,idesessionuuid,kaveversion,triggeredat,triggeredby,activewindow,activedocument
cbd2dd71-d462-4454-8702-ea2689871e00,4,5,0,1,1,1,0,1,0,1,0,2,5,6,,f2d01c7c-5ef3-471f-8344-a136c22a1932,0.1004-Default,2016-05-09T21:39:13.1312016+02:00,0,0Win:vsWindowTypeToolWindow Start Page,
cbd2dd71-d462-4454-8702-ea2689871e00,4,5,0,1,1,1,0,1,0,1,0,2,5,6,,c33463ea-8592-45d3-a821-8e194f15bfd1,0.1004-Default,2016-05-16T21:47:10.1571351+02:00,0,0Win:vsWindowTypeToolWindow Start Page,
cbd2dd71-d462-4454-8702-ea2689871e00,4,5,0,1,1,1,0,1,0,1,0,2,5,6,,6d171b9f-9fa8-4cf3-a94b-def213d64af9,0.1004-Default,2016-05-17T23:27:26.9401475+02:00,0,0Win:vsWindowTypeMainWindow Assemble.Publisher - Microsoft Visual Studio (Administrator),
cbd2dd71-d462-4454-8702-ea2689871e00,4,5,0,1,1,1,0,1,0,1,0,2,5,6,,8ae87b46-d67c-40b0-ad92-6733fa163ca7,0.1004-Default,2016-05-25T22:09:08.5245814+02:00,0,0Win:vsWindowTypeDocument HomeController.cs,0Doc:CSharp \Controllers\HomeController.cs
cbd2dd71-d462-4454-8702-ea2689871e00,4,5,0,1,1,1,0,1,0,1,0,2,5,6,,d3b76aa2-57ba-48b6-ae9a-2bdb8385ee1d,0.1004-Default,2016-06-01T19:29:03.0360349+02:00,0,0Win:vsWindowTypeToolWindow Start Page,
cbd2dd71-d462-4454-8702-ea2689871e00,4,5,0,1,1,1,0,1,0,1,0,2,5,6,,77fa3202-a57a-45a1-9e8a-39d99e25592e,0.1004-Default,2016-06-07T22:08:22.395972+02:00,0,0Win:vsWindowTypeDocument Package.dtsx [Design],0Doc:XMLA \PullInAuditData\Package.dtsx
cbd2dd71-d462-4454-8702-ea2689871e00,4,5,0,1,1,1,0,1,0,1,0,2,5,6,,1fc7f22b-4efd-4595-8a81-3809d601a37a,0.1004-Default,2016-06-21T16:35:02.7348384+02:00,0,0Win:vsWindowTypeToolWindow Start Page,
cbd2dd71-d462-4454-8702-ea2689871e00,4,5,0,1,1,1,0,1,0,1,0,2,5,6,,fb24bef7-e52a-43b6-9fe8-fcffaa527b95,0.1010-Default,2016-07-05T23:49:29.9329236+02:00,0,0Win:vsWindowTypeToolWindow Start Page,
cbd2dd71-d462-4454-8702-ea2689871e00,4,5,0,1,1,1,0,1,0,1,0,2,5,6,,56fde61a-dc60-4ca6-9c9c-3fc1c22fad35,0.1010-Default,2016-07-19T22:40:01.7173059+02:00,0,0Win:vsWindowTypeMainWindow MessinAround - Microsoft Visual Studio (Administrator),
cbd2dd71-d462-4454-8702-ea2689871e00,4,5,0,1,1,1,0,1,0,1,0,2,5,6,,f05dbe66-8faa-4dc1-8635-55cb1010dd52,0.1010-Default,2016-07-25T19:02:15.1787715+02:00,0,0Win:vsWindowTypeDocument NuGet - Solution,
